source,target,,,,
EIF4A3,CASC3,,,,
EIF4A3,CCDC174,,,,
EIF4A3,CDC5L,,,,
EIF4A3,CNOT1,,,,
EIF4A3,CNOT10,,,,
EIF4A3,CNOT11,,,,
EIF4A3,CNOT2,,,,
EIF4A3,CNOT4,,,,
EIF4A3,CNOT6,,,,
EIF4A3,CNOT6L,,,,
EIF4A3,CNOT7,,,,
EIF4A3,CNOT8,,,,
EIF4A3,CNOT9,,,,
EIF4A3,CWC22,,,,
EIF4A3,DHX15,,,,
EIF4A3,EFTUD2,,,,
EIF4A3,EIF4A2,,,,
EIF4A3,EIF4A3,,,,
EIF4A3,EIF4B,,,,
EIF4A3,EIF4E,,,,
EIF4A3,EIF4E2,,,,
EIF4A3,EIF4E3,,,,
EIF4A3,EIF4G1,,,,
EIF4A3,EIF4G3,,,,
EIF4A3,ETF1,,,,
EIF4A3,FAU,,,,
EIF4A3,GPX1,,,,
EIF4A3,HERC5,,,,
EIF4A3,HNRNPA1,,,,
EIF4A3,HNRNPC,,,,
EIF4A3,HNRNPU,,,,
EIF4A3,HRH1,,,,
EIF4A3,ILF2,,,,
EIF4A3,ISG15,,,,
EIF4A3,LBR,,,,
EIF4A3,MAGOH,,,,
EIF4A3,NAT1,,,,
EIF4A3,NCBP1,,,,
EIF4A3,NCBP2,,,,
EIF4A3,NOM1,,,,
EIF4A3,NXF1,,,,
EIF4A3,PAIP1,,,,
EIF4A3,PAN2,,,,
EIF4A3,PAN3,,,,
EIF4A3,PARN,,,,
EIF4A3,PDCD4,,,,
EIF4A3,POLDIP3,,,,
EIF4A3,PPP2CB,,,,
EIF4A3,PPP2R1A,,,,
EIF4A3,PPP2R2D,,,,
EIF4A3,PRPF19,,,,
EIF4A3,RALY,,,,
EIF4A3,RBM8A,,,,
EIF4A3,RBMX,,,,
EIF4A3,RLIM,,,,
EIF4A3,RNPS1,,,,
EIF4A3,RPL10A,,,,
EIF4A3,RPL11,,,,
EIF4A3,RPL12,,,,
EIF4A3,RPL13,,,,
EIF4A3,RPL13A,,,,
EIF4A3,RPL14,,,,
EIF4A3,RPL15,,,,
EIF4A3,RPL17,,,,
EIF4A3,RPL18,,,,
EIF4A3,RPL18A,,,,
EIF4A3,RPL19,,,,
EIF4A3,RPL21,,,,
EIF4A3,RPL22,,,,
EIF4A3,RPL23,,,,
EIF4A3,RPL23A,,,,
EIF4A3,RPL24,,,,
EIF4A3,RPL26,,,,
EIF4A3,RPL26L1,,,,
EIF4A3,RPL27,,,,
EIF4A3,RPL27A,,,,
EIF4A3,RPL28,,,,
