hgnc_symbol,stage1,stage2,stage3,stage4
TTC17,137.1293706,445.1034483,291.5069444,613.0440705
FOXN3,300.3745605,553.7741379,691.6597223,407.9422596
AKR7A2,38.47802198,0.275862069,0.076388889,178.6570513
MRTO4,0.181818182,0.068965517,1.104166667,145.1145834
USE1,624.685814,0.206896552,0.027777778,85.83012819
AP5M1,194.8106893,170.1034483,0.027777778,404.6674679
THRAP3,2342.444765,1349.58069,692.6157639,5796.653878
PHPT1,70.78871127,309.1724138,383.8611111,975.826923
LY75,36.09131868,18.59172414,593.3888889,167.1891026
ARID4B,1242.358702,2249.726207,2837.972222,1598.127909
OPN3,20.77572428,0.034482759,311.5722917,40.2411859
SDCCAG8,121.9976773,6.827586207,98.30555557,2537.629744
KIF1B,0.182507493,118.3731034,32.50944444,0.474358974
TBC1D22A,24.27922078,42.89655172,2.895833333,60.80689103
SYNE2,2165.764735,316.9655172,1503.854167,1134.320513
FAM168A,29.54545455,0.068965517,4.743055557,0.118589744
RELT,65.8053247,0.183448276,26.08625,68.48708335
GALC,68.05144854,1.103448276,102.7361111,32.34375
NOP58,14649.29271,3938.413793,1378.3125,3538.794872
SZRD1,111.0189161,37.10344828,55.81944443,194.8901443
CUL1,108.5414586,49.93103448,0.347222222,35.5761218
FAM114A2,51.5844156,144.0344828,0.298611111,49.53125
CYFIP2,524.7012987,11.34482759,58.59027778,131.21875
TAB2,309.948052,369.5172414,156.2847222,485.4190705
GINM1,294.0244755,694.4827586,194.4305556,921.6546477
EIF2AK2,36.23369631,245.137931,58.95833333,3.677644231
,835.2102899,223.0344828,168.7569444,160.2620192
KMT2C,390.338966,1139.481724,452.7916667,539.4815705
PUM2,72.21178819,16.34482759,613.888889,830.2059294
MRPL43,58.04395607,0.896551724,0.104166667,37.29246795
HPF1,6.408591409,5.862068966,5.729166667,0.125
ZFR,479.8046953,412.1034483,1.854166667,1394.866186
ZNF280C,20.08391608,15.13793103,0.104166667,0.09375
TRAF1,160.044955,483.4137931,583.2708333,222.5008013
RC3H2,76.83666333,313.0344828,220.0972222,318.5328526
SOAT1,230.3291709,45.31034483,331.6319444,73.01041665
GDI2,232.2345555,509.1724138,1021.678125,1553.177428
PRDM1,156.8361638,318.5517241,1662.1875,227.3910257
ATG5,229.4795205,827.5862069,194.625,75.77163462
TMCC3,7.714285715,14.17241379,38.36111111,309.5721154
PITHD1,93.03146853,0.793103448,0.583333333,356.1426282
MTA3,96.510989,30.4137931,0.069444444,1.775641026
USP13,0.192307693,0.655172414,0.083333333,170.09375
ATP11B,223.3795605,331.1486207,355.7970833,461.4102564
CDK14,6.90909091,671.7931034,24.53472222,341.9222756
SEC61A1,21.3294955,0.896551724,43.25263889,93.14189904
PPP1R12A,391.1243756,746.1724138,1906.666667,965.9688144
POLR3E,6600.539462,758.6206897,58.22222223,319.4038462
ATP2B4,68.61438559,74.5862069,3.215277778,110.4270834
ZC3H11A,306.0137862,1539.671724,431.4327777,714.6710415
YIPF1,0.314685315,156.2413793,74.20833333,0.212339744
NDC1,49.34415585,1967.551724,0.152777778,0.104166667
FLYWCH1,25.13586413,0.034482759,0.159722222,0.153044872
TBXAS1,74.71378624,124.2758621,0.069444444,0.097756411
PARP12,49.30519481,0.206896552,0.083333333,222.2724359
ALDH18A1,0.10939061,0.24137931,0.055555556,0.563301282
MXD1,705.5919082,197.5862069,408.6875,135.6354167
CDK17,107.3081918,99.62068966,146.6944444,236.6498397
SLC2A3,1583.490295,505,1329.9525,1001.633694
CTDP1,4.252747253,0.620689655,0.076388889,0.319711539
YBX3,167.7662338,10.68965517,636.3333333,608.7700319
WNK1,211.994006,394.8965517,1090.923611,161.8076923
CCAR1,353.6623377,477.7586207,18.8125,231.7964743
GNA15,0.032467533,0.275862069,42.07638889,0.03125
SNRNP40,248.9085914,594.8965517,179.7083333,125.7852564
MPC1,142.9280719,417.3793103,1473.875,213.8389423
ACAA1,235.0995704,0.620689655,4.746458333,7.847756412
BCAT1,30.77172827,294,1.263888889,477.661859
HDAC7,5.253246755,50.48275862,82.25694444,4.604166667
SPAG4,3.525474526,0.965517241,0.166666667,2.081730769
MRPS35,13.27172827,1.24137931,0.145833333,432.5881411
SFSWAP,47.27722278,1892.551724,0.881944444,244.5945513
MON2,202.3291709,0.137931034,0.055555556,525.5104167
GPBP1,1745.66933,4985.448276,1166.576389,3343.479167
CS,113.110015,12.72413793,2374.097222,1509.80254
MRPS24,123.8340609,1.620689655,0.159722222,51.41185896
ELMO2,15.03896104,122.1034483,4.805555557,36.63541667
WAPL,127.5859141,56.96551724,332.1527778,273.7091346
VMP1,261.4435564,581.6896552,603.4305557,611.2764423
APPBP2,101.7122877,6.862068966,3.416666667,0.191506411
EIF4B,1419.039881,1561.030345,1341.697639,2181.999976
BICRA,0.110389611,0.206896552,0.048611111,0.048878205
RPL18,4770.428572,4097.206897,2866.527778,2052.411058
U2AF2,33.14885115,0.413793103,150.4722222,38.70833334
EPN1,1.896103896,4.206896552,0.020833333,1.340544872
MED29,209.3506494,434.9655172,2.402777778,1.189903846
ZNF275,0.186313687,0.068965517,0.166666667,0.135416667
MTMR1,28.52597403,76.68965517,3.006944444,19.66666667
HAGH,21.3991009,0.103448276,0.368055556,75.75
RNF4,123.5899101,286.3793103,334.6319444,81.29567308
CASP8,116.050949,543.1034483,0.569444444,286.5801282
INTS13,4.14935065,44.96551724,6.11111111,145.011218
TAF2,56.99300699,206.3103448,14.47916667,133.3116987
HIPK2,166.7717283,767.5862069,506.0833333,1308.103366
TNPO3,89.30469529,49.06896552,34.75694444,40.62900641
LPAR2,0.08991009,0.068965517,0.055555556,188.0488782
CTSA,750.0842259,713.9986207,1.047777778,0.993012821
SUGP2,13.47902098,29.20689655,0.388888889,340.5376603
SLC12A2,297.482018,27.68965517,334.7777778,644.5464744
CNN2,312.8174375,235.0837931,50.06618057,490.0282452
DDX20,95.23376625,0.75862069,20.56944444,306.0520834
BTBD1,16.51298702,429.3103448,0.243055556,88.64262821
CHI3L2,207.4605394,0.068965517,3.666666667,0.313301282
PMS1,91.18731271,79.20689655,0.076388889,0.455128205
CALCRL,8.115384615,28.13793103,759.111111,0.03125
TAF11,151.8631368,1.206896552,105.3194444,9.447916667
AP3D1,1.78921079,0.862068966,59.69444443,197.3814102
UHRF1BP1,0.246253747,0.482758621,288.6388889,280.1842949
GNAI3,494.3337712,983.2068966,54.68055556,778.6674681
IPO5,3.402597403,619.1724138,94.8611111,501.7972757
OAT,107.3106893,825.6896552,0.069444444,31.41666667
PKN2,69.68081918,36.4137931,8.902777777,84.44230769
TRAM2,1.622377623,0.068965517,0.027777778,0.278846154
DGKA,115.7272728,106.6896552,0.479166667,0.375801282
ANKRD44,942.8091907,563.8965517,2675.673611,793.5296474
KARS1,156.6738262,2.379310345,3866.944444,128.8605769
ADAT1,0.058441559,21.48275862,0.027777778,103.2259615
