"","ensembl_gene_id","gene_id","C481","LC03","LC01","RC02","R02","R03","RC03","hgnc_symbol"
"193","ENSG00000028137","ENSG00000028137.18",1255,1822,2313,2802,1974,2675,952,"TNFRSF1B"
"194","ENSG00000028203","ENSG00000028203.17",167,758,472,0.9,142,1.7,377,"VEZT"
"195","ENSG00000028277","ENSG00000028277.21",269,280,91,358,133,126,50,"POU2F2"
"196","ENSG00000028528","ENSG00000028528.14",535,502,312,312,345,5.7,850,"SNX1"
"197","ENSG00000028839","ENSG00000028839.9",391,398,869,0.17,554,438,0.29,"TBPL1"
"198","ENSG00000029363","ENSG00000029363.16",1733,1937,1999,1011,2036,1370,1820,"BCLAF1"
"199","ENSG00000029725","ENSG00000029725.16",233,520,215,6.7,299,950,770,"RABEP1"
"200","ENSG00000030066","ENSG00000030066.13",442,844,216,142,2.6,0.61,1.2,"NUP160"
"201","ENSG00000030419","ENSG00000030419.16",347,1063,756,611,292,1004,1067,"IKZF2"
"202","ENSG00000030582","ENSG00000030582.17",495,1019,126,3.7,58,0.9,1335,"GRN"
"203","ENSG00000031003","ENSG00000031003.10",106,301,49,22,597,362,0.65,"FAM13B"
"204","ENSG00000031081","ENSG00000031081.10",0.053,0.95,0.018,0.14,151,0.032,0.065,"ARHGAP31"
"205","ENSG00000031698","ENSG00000031698.12",1596,1832,1220,571,587,0.16,928,"SARS1"
"206","ENSG00000032219","ENSG00000032219.18",716,565,586,2195,842,800,1980,"ARID4A"
"207","ENSG00000032389","ENSG00000032389.12",0.13,102,181,0.034,157,0.032,0.19,"EIPR1"
"208","ENSG00000032444","ENSG00000032444.15",322,0.05,50,0.034,58,0.19,0.42,"PNPLA6"
"209","ENSG00000033030","ENSG00000033030.13",1031,0.2,667,101,389,124,0.097,"ZCCHC8"
"210","ENSG00000033050","ENSG00000033050.7",317,187,266,0.1,258,0.065,126,"ABCF2"
"211","ENSG00000033170","ENSG00000033170.16",1.6,2.5,441,173,49,24,1738,"FUT8"
"212","ENSG00000033178","ENSG00000033178.12",3626,2582,2498,1944,736,6367,887,"UBA6"
"213","ENSG00000033800","ENSG00000033800.13",885,10,1989,400,759,132,892,"PIAS1"
"214","ENSG00000033867","ENSG00000033867.16",1332,858,40,299,652,0.52,240,"SLC4A7"
"215","ENSG00000034152","ENSG00000034152.18",54,15,561,247,162,615,0.16,"MAP2K3"
"216","ENSG00000034510","ENSG00000034510.5",8152,17599,29130,11234,23115,15793,17422,"TMSB10"
"217","ENSG00000034677","ENSG00000034677.12",699,1331,2020,3073,2505,1095,656,"RNF19A"
"218","ENSG00000034693","ENSG00000034693.14",374,0.4,0.12,2.3,83,0.032,514,"PEX3"
"219","ENSG00000034713","ENSG00000034713.7",798,182,1349,263,626,177,0.84,"GABARAPL2"
"220","ENSG00000035141","ENSG00000035141.7",545,0.7,2.2,164,438,0.55,0.52,"FAM136A"
"221","ENSG00000035403","ENSG00000035403.17",0.079,1.6,0.12,0.034,97,0.29,1,"VCL"
"222","ENSG00000035681","ENSG00000035681.7",12,199,74,12,132,597,0.032,"NSMAF"
"223","ENSG00000035687","ENSG00000035687.9",361,935,657,286,319,0.39,18,"ADSS2"
"224","ENSG00000035720","ENSG00000035720.7",1.4,2.4,0.44,0.31,8,19,0.032,"STAP1"
"225","ENSG00000035928","ENSG00000035928.15",497,119,260,398,593,134,310,"RFC1"
"226","ENSG00000036054","ENSG00000036054.12",675,851,394,2.2,275,1584,492,"TBC1D23"
"227","ENSG00000036257","ENSG00000036257.12",450,32,330,549,319,7.3,48,"CUL3"
"228","ENSG00000036549","ENSG00000036549.12",121,7.8,862,0.1,127,0.065,333,""
"229","ENSG00000037241","ENSG00000037241.7",273,92,365,0.034,342,2,476,"RPL26L1"
"230","ENSG00000037474","ENSG00000037474.14",51,102,1,0.31,143,164,0.68,"NSUN2"
"231","ENSG00000037637","ENSG00000037637.10",292,9.1,544,0.17,248,0.032,0.29,"FBXO42"
"232","ENSG00000038219","ENSG00000038219.12",868,1348,979,849,795,2170,599,"BOD1L1"
"233","ENSG00000038274","ENSG00000038274.16",2897,1495,1229,996,1540,3215,1005,"MAT2B"
"234","ENSG00000038532","ENSG00000038532.14",2.5,0.05,7.9,76,13,0.097,0.065,"CLEC16A"
"235","ENSG00000038945","ENSG00000038945.14",0.24,270,0.018,0.17,0.056,0.58,4.4,"MSR1"
"236","ENSG00000039319","ENSG00000039319.16",1.1,8.6,236,0.1,115,582,217,"ZFYVE16"
"237","ENSG00000040341","ENSG00000040341.17",123,29,129,30,438,0.065,15,"STAU2"
"238","ENSG00000040633","ENSG00000040633.12",0.74,0.75,2.4,13,254,15,281,"PHF23"
"239","ENSG00000041357","ENSG00000041357.15",1932,1566,2311,1210,2296,1860,776,"PSMA4"
"240","ENSG00000041802","ENSG00000041802.10",34,31,294,72,133,864,321,"LSG1"
"241","ENSG00000042429","ENSG00000042429.11",958,745,4.9,42,301,721,693,"MED17"
"242","ENSG00000042493","ENSG00000042493.15",784,6,665,41,1418,46,605,"CAPG"
"243","ENSG00000042753","ENSG00000042753.11",307,0.4,323,5.7,270,146,2.9,"AP2S1"
"244","ENSG00000042980","ENSG00000042980.12",32,0.15,0.42,0.52,31,60,0.26,"ADAM28"
"245","ENSG00000043093","ENSG00000043093.13",559,2120,621,495,1059,2626,1328,"DCUN1D1"
"246","ENSG00000043143","ENSG00000043143.20",376,181,74,153,145,0.19,0.32,"JADE2"
"247","ENSG00000043462","ENSG00000043462.11",3.9,363,1163,577,474,12,513,"LCP2"
"248","ENSG00000044115","ENSG00000044115.20",191,505,788,402,256,0.42,706,"CTNNA1"
"249","ENSG00000044446","ENSG00000044446.11",0.026,1.3,0.32,3.3,54,0.032,1.3,"PHKA2"
"250","ENSG00000044574","ENSG00000044574.7",2307,2379,3604,656,2254,1054,1631,"HSPA5"
"251","ENSG00000046651","ENSG00000046651.14",2216,175,1350,316,1373,1501,1098,"OFD1"
"252","ENSG00000047056","ENSG00000047056.14",153,0.15,0.18,3.9,228,0.065,0.032,"WDR37"
"253","ENSG00000047188","ENSG00000047188.15",7.2,66,111,198,605,0.19,0.81,"YTHDC2"
"254","ENSG00000047249","ENSG00000047249.17",89,248,68,329,166,0.52,0.45,"ATP6V1H"
"255","ENSG00000047315","ENSG00000047315.15",163,391,163,182,748,2232,159,"POLR2B"
"256","ENSG00000047346","ENSG00000047346.12",66,4.2,475,44,544,398,1634,"FAM214A"
"257","ENSG00000047365","ENSG00000047365.11",602,1091,1453,1069,1594,529,3718,"ARAP2"
"258","ENSG00000047410","ENSG00000047410.13",3438,2322,3058,1311,2251,511,2057,"TPR"
"259","ENSG00000047849","ENSG00000047849.21",253,0.15,210,575,371,246,22,"MAP4"
"260","ENSG00000047932","ENSG00000047932.13",3.2,0.05,237,0.1,87,161,0.23,"GOPC"
"261","ENSG00000048028","ENSG00000048028.11",145,0.1,35,5.4,157,0.097,68,"USP28"
"262","ENSG00000048052","ENSG00000048052.21",0.84,5.1,0.7,175,2,0.032,0.16,"HDAC9"
"263","ENSG00000048162","ENSG00000048162.20",115,124,664,346,666,649,489,"NOP16"
"264","ENSG00000048405","ENSG00000048405.9",986,23,264,277,401,765,460,"ZNF800"
"265","ENSG00000048544","ENSG00000048544.5",309,1.6,206,554,235,0.35,32,"MRPS10"
"266","ENSG00000048649","ENSG00000048649.13",1153,705,2156,1799,815,836,201,"RSF1"
"267","ENSG00000048707","ENSG00000048707.13",0.16,6.2,1.3,25,243,223,0.065,"VPS13D"
"268","ENSG00000048740","ENSG00000048740.18",619,717,2593,2306,1506,2464,359,"CELF2"
"269","ENSG00000048828","ENSG00000048828.16",128,1002,419,1371,609,2537,923,"FAM120A"
"270","ENSG00000048991","ENSG00000048991.16",40,0.4,344,278,32,368,15,"R3HDM1"
"271","ENSG00000049239","ENSG00000049239.12",13,0.05,45,79,148,0.032,1.7,"H6PD"
"272","ENSG00000049247","ENSG00000049247.13",417,1061,700,40,205,230,1.7,"UTS2"
"273","ENSG00000049249","ENSG00000049249.8",878,2627,1281,476,1296,607,313,"TNFRSF9"
"274","ENSG00000049449","ENSG00000049449.8",0.026,0.05,0.018,1,30,0.097,0.69,"RCN1"
"275","ENSG00000049541","ENSG00000049541.10",370,0.05,325,27,42,0.29,107,"RFC2"
"276","ENSG00000049618","ENSG00000049618.22",804,129,401,424,1027,897,1971,"ARID1B"
"277","ENSG00000049656","ENSG00000049656.13",154,865,0.4,315,83,2.7,0.81,"CLPTM1L"
