"","stage_I","stage_II","stage_III","stage_IV"
"ENSG00000054654.16",2146.5,4648,1945.5,4829.5
"ENSG00000054965.10",16.5485,90,9,222.08
"ENSG00000054967.12",147.516,0.21,0.44,0.59
"ENSG00000054983.16",186.5,0.6,157,319.2
"ENSG00000055044.10",6245,9636,3889.5,7859.5
"ENSG00000055070.16",92.385,158,266.15,63.5
"ENSG00000055130.15",269.1,244,345,283
"ENSG00000055147.18",24.66,80,30.516,60.5
"ENSG00000055163.19",800.5,1844,260.5,134
"ENSG00000055208.18",556,1276,1541.5,871.5
"ENSG00000055211.12",70.16,446,76.5,61.7
"ENSG00000055332.16",636,311,641.92,645.65
"ENSG00000055483.19",856,125,204,48.5
"ENSG00000055609.17",894,1791,1234.5,526
"ENSG00000055917.15",603,642,266.1,552.55
"ENSG00000055950.16",104.25,298,38.275,166.425
"ENSG00000055955.15",1.9,20,0.017,6
"ENSG00000056050.6",92.71,187,118.095,850
"ENSG00000056097.15",544.5,1052,335.17,969.5
"ENSG00000056277.15",1.05,62,0.017,272.5395
"ENSG00000056558.10",249.5,345,63.55,44.75
"ENSG00000056586.15",324,425,530,319
"ENSG00000056972.18",21.0325,0.053,44,0.0265
"ENSG00000057252.12",386.5,797,1.975,77.5
"ENSG00000057608.16",1193.5,1436,1167.5,598
"ENSG00000057657.15",12329,7526,6113.5,6358
"ENSG00000057663.14",916.5,657,909,737.5
"ENSG00000057704.12",1.41,0.21,0.017,1
"ENSG00000057757.9",224.5,11,0.42,428.5
"ENSG00000058056.8",74.016,140,0.016,0.13
"ENSG00000058063.15",117.1,565,201,91
"ENSG00000058091.16",21.0325,0.12,0.066,0.09
"ENSG00000058262.9",57.55,143,1.445,161.5
"ENSG00000058272.16",1031.5,820,341.5,1497.5
"ENSG00000058600.15",1326.5,1137,559.5,745.5
"ENSG00000058668.14",682.5,615,400,1231.5
"ENSG00000058673.16",586,2387,499,1492
"ENSG00000058729.10",40.4,72,373.5,66.075
"ENSG00000058799.14",7.25,491,0.12,152.025
"ENSG00000058804.11",0.53,4.6,822.605,0.0395
"ENSG00000059122.16",9,0.088,87.5485,17.5
"ENSG00000059145.18",81,0.035,0.017,178.5
"ENSG00000059377.16",94.775,0.21,515,0.1015
"ENSG00000059378.12",102.516,799,313.2,344.5
"ENSG00000059573.8",28.08,17,0.177,105.1
"ENSG00000059588.9",21.1,0.32,2.045,6.475
"ENSG00000059691.11",1.15,0.035,0.033,0.8265
"ENSG00000059728.10",28.5,101,47.6,286.5
"ENSG00000059758.7",209.675,240,600.25,784.315
"ENSG00000059804.15",1079.5,3718,1637,188
"ENSG00000059915.16",0.48,3.9,3.35,21.4
"ENSG00000060138.12",0.38,51,220.57,0.87
"ENSG00000060237.16",1959,1469,973,868
"ENSG00000060339.13",330.5,327,762,783
"ENSG00000060491.16",4.605,0.018,17.5,80.05
"ENSG00000060558.3",65.3,149,100,2.0395
"ENSG00000060688.12",407.5,45,90.225,1.375
"ENSG00000060749.14",12.87,55,68.0345,0.0515
"ENSG00000060762.18",404,279,730,517.5
"ENSG00000060971.17",146,749,8.0485,51.075
"ENSG00000060982.14",21.76,0.6,381.205,150
"ENSG00000061273.17",18.8,100,11.1,41
"ENSG00000061656.9",0.0325,304,0.58,0.425
"ENSG00000061794.12",216.24,90,0.73,1.225
"ENSG00000061936.9",84.8,171,147.5,188.5
"ENSG00000061938.17",28.805,0.19,0.0325,52.5
"ENSG00000061987.15",215.5,307,263.5,208.5
"ENSG00000062194.15",4644.5,3793,3534,2638
"ENSG00000062485.18",461.5,1052,1.79,281.125
"ENSG00000062582.13",181,559,187.15,173.4
"ENSG00000062598.17",42.145,314,35.5,74.825
"ENSG00000062650.18",302.5,918,71.5,788.5
"ENSG00000062716.12",1426.5,1983,1709,3580
"ENSG00000062725.9",246,67,0.066,156.3
"ENSG00000062822.12",0.014,0.018,0.225,20
"ENSG00000063046.17",3201.5,2452,1605.5,3027
"ENSG00000063177.12",3435,4297,2263.5,1074.5
"ENSG00000063244.12",147,37,12.016,17.55
"ENSG00000063245.14",2.545,0.018,62.0485,17.55
"ENSG00000063322.13",585,446,187,104.6
"ENSG00000063587.13",25.115,0.07,137.31,229.5395
"ENSG00000063601.16",58,0.23,7.25,192.5
"ENSG00000063854.12",72.25,604,0.1025,210.05
"ENSG00000063978.15",618,244,443,380
"ENSG00000064012.21",339.5,932,315.79,975
"ENSG00000064102.14",99.5,522,1091.5,946.5
"ENSG00000064115.10",51.42,177,17.5,1.175
"ENSG00000064225.12",0.415,0.018,0.2575,0.025
"ENSG00000064313.11",89.65,559,0.415,31.35
"ENSG00000064393.15",527,646,320.5,462.5
"ENSG00000064419.13",129.95,1.7,7.016,23
"ENSG00000064490.13",17.355,6,0.175,279.025
"ENSG00000064547.13",18.5,376,199.5,0.3
"ENSG00000064601.16",235.05,780,158.5,361
"ENSG00000064607.16",194.5,260,0.115,259
"ENSG00000064651.13",1881,550,669.655,1083.5
"ENSG00000064666.14",886,1174,548.5,297.5
"ENSG00000064703.11",143.5,743,48.24,128.525
"ENSG00000064726.9",29.5,218,245.5,52.8
"ENSG00000064763.10",7.615,0.018,0.345,44.525
"ENSG00000064886.13",26,0.088,103.5,0.0395
"ENSG00000064932.15",37,54,59,0.13
"ENSG00000064933.17",83.0325,0.19,41.615,456.5
"ENSG00000064961.18",29.195,0.14,0.067,0.013
"ENSG00000064995.16",109.225,89,0.54,771.5
"ENSG00000065000.15",410,87,78.5,123.695
"ENSG00000065057.7",0.295,26,0.0485,49.5
"ENSG00000065060.16",0.32,1.1,0.08,0.145
"ENSG00000065135.10",1466.5,1054,1243,947.5
"ENSG00000065150.18",22.13,30,47.66,227.025
