"","stage1","stage2","stage3","stage4"
"ARRDC2",1093,967,184,762
"ARRDC3",1359,271,261,1315
"ARSA",1,0,0,6
"ARSB",136,1486,24,66
"ARSK",0,0,0,0
"ARV1",6,0,0,43
"ASAH1",291,1219,539,1309
"ASAP1",259,539,41,471
"ASB1",53,0,9,0
"ASB2",5,0,183,87
"ASB3",152,1,0,116
"ASB6",91,1,0,66
"ASB7",0,0,0,2
"ASB8",637,30,76,74
"ASCC1",35,18,126,50
"ASCC2",39,0,231,213
"ASCC3",280,213,302,267
"ASF1A",236,781,98,258
"ASF1B",0,0,0,0
"ASH1L",1179,317,339,311
"ASH1L-AS1",0,0,1,61
"ASH2L",0,429,0,137
"ASMTL",5,139,1,31
"ASNS",0,747,63,346
"ASNSD1",69,210,134,290
"ASPH",286,0,0,0
"ASPHD2",1,388,96,2
"ASPM",1,2,0,22
"ASTE1",93,0,0,28
"ASXL1",87,405,54,93
"ASXL2",3,1,694,174
"ATAD1",4,0,187,23
"ATAD2",833,180,36,91
"ATAD2B",426,3,2,332
"ATAD3B",0,47,0,43
"ATAD5",0,3045,0,149
"ATAT1",8,45,1,88
"ATE1",16,8,63,92
"ATF1",30,31,71,161
"ATF2",107,242,140,284
"ATF3",0,2,571,86
"ATF4",302,918,2581,1070
"ATF4P3",0,1,1,0
"ATF4P4",0,0,1,0
"ATF5",20,12,10,24
"ATF6",316,898,21,913
"ATF6B",250,235,25,105
"ATF7",74,30,164,52
"ATF7IP",562,85,556,1273
"ATF7IP2",181,0,0,127
"ATG10",180,3,5,121
"ATG101",169,11,0,41
"ATG12",467,2700,1500,1675
"ATG13",161,0,43,60
"ATG14",6,180,88,143
"ATG16L1",16,0,0,0
"ATG16L2",0,0,1,3
"ATG2B",15,0,70,142
"ATG3",1187,1387,395,1190
"ATG4A",143,0,1,79
"ATG4C",31,0,0,15
"ATG4D",4,0,17,0
"ATG5",264,387,159,632
"ATG7",1,33,0,2
"ATG9A",2,0,41,17
"ATIC",0,561,239,72
"ATL2",316,299,74,30
"ATL3",181,259,113,55
"ATM",1027,32,302,387
"ATMIN",73,41,65,50
"ATN1",0,1,0,12
"ATOX1",181,28,20,47
"ATP10A",11,0,0,0
"ATP10D",164,0,92,230
"ATP11A",0,0,35,0
"ATP11B",3,19,1118,77
"ATP11C",0,89,6,44
"ATP13A1",3,0,39,11
"ATP13A3",0,11,1858,115
"ATP1A1",371,221,1305,605
"ATP1A1-AS1",0,0,0,0
"ATP1B1",111,45,111,11
"ATP1B3",4254,13044,5631,3390
"ATP1B3P1",1,2,1,1
"ATP2A2",39,0,506,4
"ATP2A3",24,38,225,187
"ATP2B1",2264,7591,2596,3049
"ATP2B1-AS1",11,1,0,77
"ATP2B4",0,0,1,7
"ATP2C1",355,178,43,1
"ATP5F1A",824,2156,2281,1128
"ATP5F1AP3",0,0,0,0
"ATP5F1B",2221,910,1722,2069
"ATP5F1C",312,3063,486,988
"ATP5F1D",303,250,179,32
"ATP5F1E",1603,3107,2348,1548
"ATP5F1EP2",2,3,2,1
"ATP5IF1",615,1372,324,560
"ATP5MC1",403,657,460,314
"ATP5MC2",463,919,494,609
"ATP5MC2P4",0,0,0,0
"ATP5MC3",115,1625,422,528
"ATP5MD",263,2577,929,265
"ATP5ME",810,1798,834,473
"ATP5MF",942,2066,341,579
"ATP5MG",3922,5675,2631,2889
"ATP5MGL",0,1,0,0
"ATP5MGP2",1,1,0,1
"ATP5MPL",748,895,502,525
"ATP5PB",395,936,742,1302
"ATP5PD",187,674,300,417
"ATP5PF",1949,1265,1703,1273
"ATP5PO",526,2144,1784,627
"ATP6AP1",122,511,447,6
"ATP6AP2",446,17,112,619
"ATP6V0A2",35,371,2,59
"ATP6V0B",1171,1329,886,1098
"ATP6V0C",2,17,158,79
"ATP6V0D1",205,594,458,428
"ATP6V0E1",2058,4122,2112,2494
"ATP6V1A",157,277,265,288
"ATP6V1B2",421,661,406,495
"ATP6V1C1",162,0,3,2
"ATP6V1C2",1,4,0,54
"ATP6V1D",278,522,5,2
"ATP6V1E1",254,53,54,221
"ATP6V1F",578,1777,1123,1176
"ATP6V1G1",2274,3644,2005,2708
"ATP6V1H",96,0,0,41
"ATP7A",3,0,0,48
"ATP8A1",353,2,7,251
"ATP8B1",45,1,0,1
"ATP8B4",6,0,0,1
"ATP8B5P",1,0,0,1
"ATP9B",109,204,0,88
"ATPAF2",167,109,3,217
"ATR",38,0,0,4
"ATRAID",321,566,208,463
"ATRN",66,0,1,0
"ATRX",4796,3313,684,3988
"ATXN1",55,868,788,237
"ATXN10",27,3,96,729
"ATXN1L",1,0,1,46
"ATXN2",0,142,166,202
"ATXN2L",27,0,27,100
"ATXN3",54,10,917,395
"ATXN7",125,535,84,236
"ATXN7L1",0,485,0,131
"ATXN7L3B",153,377,184,110
"AUP1",211,219,248,580
"AURKA",0,0,0,34
"AURKAIP1",397,3,8,280
"AURKB",0,0,0,58
"AUTS2",94,22,413,99
"AVL9",61,26,1,78
"AXIN1",93,0,18,11
"AXL",155,8,0,0
"AZI2",13,170,177,1
"AZIN1",612,1986,202,239
"B2M",166426,244155,173634,231522
"B3GALT2",0,0,1,0
"B3GALT6",0,1,0,0
"B3GAT2",256,275,4,623
"B3GLCT",37,274,0,253
"B3GNT2",32,96,18,149
"B3GNT5",0,0,0,0
"B3GNT7",4303,1362,1052,2242
"B3GNTL1",6,0,0,1
"B4GALT1",17128,17254,4920,9752
"B4GALT3",52,1064,150,91
"B4GALT4",193,0,0,66
"B4GALT5",0,1,112,38
"B9D2",9,1,0,6
"BABAM1",119,1697,0,479
"BABAM2",58,1510,67,281
"BACH1",496,965,16,721
"BACH2",156,948,757,828
"BAD",34,0,0,18
"BAG1",788,225,328,188
"BAG2",0,59,1,2
"BAG3",95,31,0,68
"BAG4",455,139,2,238
"BAG5",191,255,18,1
"BAG6",289,336,1,110
"BAHD1",398,0,101,1
"BAIAP2",0,0,0,0
"BAIAP2L1",0,357,0,31
"BANF1",296,879,406,686
"BANF1P3",0,0,0,0
"BANK1",3371,4579,2868,4316
"BANP",758,0,192,38
"BAP1",5,170,134,45
"BARD1",96,315,323,161
"BASP1",445,134,24,183
"BATF",12,10,1,13
"BAZ1A",206,706,824,1259
"BAZ1B",37,728,530,578
"BAZ2A",142,355,18,346
"BAZ2B",240,1195,243,549
"BBIP1",373,836,841,271
"BBS2",65,0,0,130
"BBS4",0,0,71,31
"BBS7",377,0,301,45
"BBX",1190,1171,898,2096
"BCAP29",161,92,278,278
"BCAP31",308,323,172,555
"BCAR3",3,738,143,2
"BCAS2",1560,214,365,1870
"BCAS3",39,0,0,12
"BCAS4",60,157,37,48
"BCAT1",1,1,0,3
"BCAT2",7,0,0,0
"BCCIP",569,1041,149,536
"BCDIN3D",0,0,0,0
"BCKDHA",243,0,0,0
"BCKDHB",0,0,20,99
"BCKDK",40,0,18,1
"BCL10",901,285,815,1170
"BCL11A",6400,4294,2959,5495
"BCL11B",46,2,65,466
"BCL2",224,995,2155,437
"BCL2A1",1893,2697,1459,3417
"BCL2L11",335,1006,269,16
"BCL2L12",41,231,0,61
"BCL2L15",0,0,0,0
"BCL2L2-PABPN1",12,50,99,39
"BCL3",18,14,0,9
"BCL6",318,330,29,27
"BCL7A",163,388,9,158
"BCL7B",71,774,68,113
"BCL7C",61,0,0,118
"BCL9",44,0,0,0
"BCLAF1",1501,782,3694,1609
"BCLAF1P2",16,3,51,12
"BCLAF3",14,7,0,44
"BCOR",52,235,138,93
"BCR",15,1,0,331
"BCS1L",84,0,0,55
"BCYRN1",6,3,21,1
"BDH2",163,289,0,40
"BDP1",616,156,1359,2051
"BECN1",214,1,23,626
"BEND4",22,0,0,24
"BEST1",80,56,57,119
"BET1",0,1,266,101
"BET1L",63,0,148,170
"BEX2",154,1,0,29
"BEX3",1,0,0,0
"BEX4",68,0,0,622
"BEX5",2,0,0,24
"BFAR",18,248,0,18
"BGLAP",0,0,0,0
"BHLHE40",347,1,0,60
"BHLHE41",54,95,123,151
"BICC1",0,1,0,0
"BICD1",194,0,0,0
"BICD2",26,0,944,64
"BICDL1",17,158,151,8
"BICRAL",264,30,14,153
"BID",679,834,584,356
"BIK",0,334,0,81
"BIN1",36,59,44,396
"BIN2",7,87,75,462
"BIN3",16,131,4,305
"BIRC2",168,1363,1,695
"BIRC3",13060,12633,9066,12568
"BIRC5",0,0,0,0
"BIRC6",313,1072,556,792
"BLCAP",191,767,188,175
"BLK",226,25,5,52
"BLM",3,0,0,281
"BLMH",30,9,0,2
"BLNK",648,153,766,935
"BLOC1S1",192,526,61,185
"BLOC1S2",390,3354,500,876
