node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
CAPG,56,0.34989,8,10,10.864,2,0.19924,190.01667,6.01898,538.03164,3970,0.26667
TECR,38,0.47549,6,10,13.238,5,0.16604,185.26667,5.91292,4200.57053,38686,0.22222
USP8,21,0.23866,9,10,12.212,1,0.16604,192.21667,6.04171,444.81113,3554,0.22222
STRN3,30,0.56839,4,10,16.498,6,0.16604,186.9,5.96216,3486.1039,45368,0.13333
WAC,1453,0.57279,9,10,23.898,1,0.16604,188.41667,5.95269,96.50801,1164,0.53333
HECTD1,362881,0.85919,9,10,9.176,1,0.16604,180.25,5.8561,88.19324,466,0.8
FNBP1,129,0.47564,7,10,7.981,1,0.19924,190.43333,6.01709,511.85045,3704,0.28889
HLA-F,40328,0.61853,10,10,9.095,1,0.16604,183.1,5.89777,70.17901,832,0.68889
ARIH2,363600,0.81806,10,10,9.868,1,0.16604,181.08333,5.87125,7.71115,144,0.91111
NGLY1,47,0.43905,7,10,11.858,1,0.19924,184.2,5.92429,454.07729,4244,0.26667
S100A6,126,0.52304,6,10,11.903,3,0.16604,186.98333,5.97542,524.13828,4790,0.24444
FYTTD1,403200,0.85796,10,10,26.98,1,0.16604,187.53333,5.93754,2.04491,58,0.95556
CCL3,122,0.41901,10,10,9.818,1,0.19924,185.48333,5.93375,106.39291,2156,0.46667
PTPN22,15,0.32413,5,10,7.433,2,0.16604,184.63333,5.91671,1179.7078,9322,0.13333
IFNAR1,273,0.47733,9,10,13.068,1,0.19924,196.98333,6.11557,255.23784,3050,0.44444
ELMO1,126,0.41901,10,10,7.132,1,0.19924,178.53333,5.79928,143.449,1472,0.46667
MRPL51,129,0.52304,6,10,15.375,2,0.19924,189.43333,5.983,440.70229,5496,0.31111
RAB8B,195,0.47733,9,10,9.713,2,0.19924,184.43333,5.91103,211.04625,2622,0.44444
ARPC1B,54,0.31924,10,10,7.26,1,0.19924,181.7,5.88072,379.69302,3514,0.35556
GPR29,115,0.52483,8,9,8.818,2,0.19924,182.51667,5.89019,88.46115,1144,0.5
REEP5,16,0.25611,7,9,8.953,2,0.16604,188.45,6.00383,1247.23481,8630,0.19444
DGUOK,726,0.71324,6,9,13.367,1,0.19924,175.2,5.76141,194.83759,1902,0.5
NAP1L4,26,0.45378,5,9,17.346,1,0.19924,198.06667,6.12883,637.48803,8202,0.30556
EDF1,13,0.37893,4,9,21.221,2,0.19924,197.38333,6.11747,174.29525,2214,0.16667
STMN1,17,0.33284,6,9,12.995,1,0.19924,200.98333,6.17618,323.90361,3370,0.19444
RNF114,362880,0.85919,9,9,9.489,1,0.16604,178.78333,5.83716,0,0,1
OAZ1,40321,0.8164,8,9,16.779,1,0.19924,183.81667,5.92429,161.64587,1990,0.77778
CRBN,12,0.46346,3,9,7.939,1,0.19924,182.38333,5.89209,403.47847,2870,0.08333
GPR183,744,0.52506,9,9,6.822,1,0.16604,171.21667,5.66671,56.17891,1060,0.61111
RGS1,26,0.36588,7,9,6.378,3,0.16604,170.08333,5.6383,427.60529,2934,0.27778
VIM,22,0.45378,5,9,15.678,1,0.19924,204.25,6.22732,392.73497,3916,0.19444
BRD2,126,0.43905,7,9,11.168,2,0.16604,188.7,5.96974,323.40318,3008,0.33333
IFITM2,40322,0.69213,9,9,8.352,1,0.16604,180.21667,5.858,111.15198,1146,0.80556
NASP,170,0.45346,9,9,11.06,1,0.16604,182.86667,5.87504,89.25835,1038,0.52778
S100A10,248,0.5854,7,9,7.988,2,0.16604,179.13333,5.83148,1149.6621,11044,0.44444
CNOT6L,34,0.36588,7,9,14.104,2,0.19924,190.8,6.0133,1523.16943,14546,0.27778
HP1BP3,11,0.2842,4,8,14.189,4,0.16604,200.88333,6.1705,548.18722,6106,0.17857
PCMT1,18,0.33284,6,8,21.14,1,0.19924,202.25,6.20459,76.61803,1342,0.28571
