ensembl_gene_id,logFC,logCPM,PValue,qval,chromosome_name,hgnc_symbol
ENSG00000157870,8.201551095,1.613997358,6.13E-05,4.24E-05,1,PRXL2B
ENSG00000078142,-8.228681655,1.556741401,6.13E-05,4.24E-05,18,PIK3C3
ENSG00000136811,-8.228681655,1.556741401,6.13E-05,4.24E-05,9,ODF2
ENSG00000003509,-8.228681655,1.556741401,6.13E-05,4.24E-05,2,NDUFAF7
ENSG00000129933,8.201551095,1.613997358,6.13E-05,4.24E-05,19,MAU2
ENSG00000078018,8.201551095,1.613997358,6.13E-05,4.24E-05,2,MAP2
ENSG00000223350,-8.228681655,1.556741401,6.13E-05,4.24E-05,22,IGLV9-49
ENSG00000203814,-8.228681655,1.556741401,6.13E-05,4.24E-05,1,H2BC18
ENSG00000046653,-8.228681655,1.556741401,6.13E-05,4.24E-05,X,GPM6B
ENSG00000136813,-8.228681655,1.556741401,6.13E-05,4.24E-05,9,ECPAS
ENSG00000281649,8.201551095,1.613997358,6.13E-05,4.24E-05,9,EBLN3P
ENSG00000264364,-8.228681655,1.556741401,6.13E-05,4.24E-05,17,DYNLL2
ENSG00000251503,-8.228681655,1.556741401,6.13E-05,4.24E-05,1,CENPS-CORT
ENSG00000087884,-8.228681655,1.556741401,6.13E-05,4.24E-05,11,AAMDC
ENSG00000027001,-3.979513333,4.229783197,6.20E-05,4.28E-05,13,MIPEP
ENSG00000187912,4.588114408,2.698155498,6.26E-05,4.32E-05,19,CLEC17A
ENSG00000066557,5.441784024,2.088573763,6.31E-05,4.35E-05,1,LRRC40
ENSG00000138175,5.441784024,2.088573763,6.31E-05,4.35E-05,10,ARL3
ENSG00000161533,-4.38843724,3.234427751,6.33E-05,4.37E-05,17,ACOX1
ENSG00000140740,-4.02639887,3.866303972,6.48E-05,4.46E-05,16,UQCRC2
ENSG00000136100,4.283216356,3.101317967,6.56E-05,4.51E-05,13,VPS36
ENSG00000197343,3.77728873,5.995674696,6.58E-05,4.52E-05,7,ZNF655
ENSG00000197837,4.012969368,4.057412225,6.83E-05,4.68E-05,12,H4-16
ENSG00000075975,3.873355173,4.573551215,6.84E-05,4.69E-05,3,MKRN2
ENSG00000139726,-3.715159067,6.985572974,6.90E-05,4.73E-05,12,DENR
ENSG00000102962,-4.454619833,3.044790833,6.90E-05,4.73E-05,16,CCL22
ENSG00000164056,4.845892219,2.406801938,6.92E-05,4.74E-05,4,SPRY1
ENSG00000173545,5.415376228,2.064735813,6.97E-05,4.77E-05,5,ZNF622
ENSG00000128294,5.415376228,2.064735813,6.97E-05,4.77E-05,22,TPST2
ENSG00000104969,-5.591756946,2.005352369,6.97E-05,4.77E-05,19,SGTA
