,ensembl_gene_id,logFC,logCPM,PValue,qval,chromosome_name,hgnc_symbol
1547,ENSG00000123810,-6.155404057,2.534666962,8.94E-06,7.13E-06,19,B9D2
3633,ENSG00000178381,-6.155404057,2.534666962,8.94E-06,7.13E-06,7,ZFAND2A
5092,ENSG00000273611,5.981264962,2.582909136,8.94E-06,7.13E-06,17,ZNHIT3
4663,ENSG00000243335,-5.56813327,2.860495695,8.96E-06,7.15E-06,7,KCTD7
261,ENSG00000062582,5.394700061,2.911312456,8.96E-06,7.15E-06,7,MRPS24
584,ENSG00000090470,-5.56813327,2.860495695,8.96E-06,7.15E-06,15,PDCD7
3306,ENSG00000170054,4.378274136,5.433801937,9.29E-06,7.39E-06,14,SERPINA9
118,ENSG00000021776,8.722015306,2.086727367,9.43E-06,7.49E-06,15,AQR
4584,ENSG00000237651,-8.741811274,2.034763008,9.43E-06,7.49E-06,2,C2orf74
3449,ENSG00000173198,8.722015306,2.086727367,9.43E-06,7.49E-06,X,CYSLTR1
2114,ENSG00000138623,-8.741811274,2.034763008,9.43E-06,7.49E-06,15,SEMA7A
4278,ENSG00000213123,-8.741811274,2.034763008,9.43E-06,7.49E-06,3,TCTEX1D2
2643,ENSG00000154310,8.722015306,2.086727367,9.43E-06,7.49E-06,3,TNIK
3605,ENSG00000177463,4.453650997,4.781360554,9.60E-06,7.62E-06,3,NR2C2
2454,ENSG00000147889,-6.13497388,2.515233105,9.63E-06,7.64E-06,9,CDKN2A
1132,ENSG00000111678,-4.619956743,3.853922801,9.83E-06,7.78E-06,12,C12orf57
1487,ENSG00000122033,-4.496777188,4.422231075,9.95E-06,7.87E-06,13,MTIF3
2660,ENSG00000155252,4.332257529,5.551579838,1.00E-05,7.91E-06,10,PI4K2A
598,ENSG00000091140,4.634459275,4.235218275,1.01E-05,7.98E-06,7,DLD
885,ENSG00000104951,-5.251681051,3.100513984,1.01E-05,7.98E-06,19,IL4I1
5096,ENSG00000274012,-5.251681051,3.100513984,1.01E-05,7.98E-06,14,RN7SL2
481,ENSG00000081052,-8.712733702,2.007315037,1.04E-05,8.19E-06,2,COL4A4
4587,ENSG00000237883,8.696082215,2.062871377,1.04E-05,8.19E-06,2,DGUOK-AS1
2199,ENSG00000140471,-8.712733702,2.007315037,1.04E-05,8.19E-06,15,LINS1
2296,ENSG00000143436,-6.114250229,2.495536868,1.04E-05,8.19E-06,1,MRPL9
3517,ENSG00000175110,4.884954848,3.355479053,1.04E-05,8.19E-06,3,MRPS22
1977,ENSG00000135972,8.696082215,2.062871377,1.04E-05,8.19E-06,2,MRPS9
5035,ENSG00000270629,-4.268500588,5.880523941,1.04E-05,8.19E-06,1,NBPF14
2273,ENSG00000143157,-8.712733702,2.007315037,1.04E-05,8.19E-06,1,POGK
2037,ENSG00000137078,-6.114250229,2.495536868,1.04E-05,8.19E-06,9,SIT1
2264,ENSG00000142765,8.696082215,2.062871377,1.04E-05,8.19E-06,1,SYTL1
2524,ENSG00000150403,8.696082215,2.062871377,1.04E-05,8.19E-06,13,TMCO3
1419,ENSG00000119685,8.696082215,2.062871377,1.04E-05,8.19E-06,14,TTLL5
2415,ENSG00000146463,8.696082215,2.062871377,1.04E-05,8.19E-06,1,ZMYM4
3763,ENSG00000183337,4.67303273,4.107601465,1.05E-05,8.27E-06,X,BCOR
192,ENSG00000048052,-4.31208746,5.53191655,1.05E-05,8.27E-06,7,HDAC9
4966,ENSG00000266472,4.245811259,6.268936338,1.05E-05,8.27E-06,1,MRPS21
3681,ENSG00000180370,-4.241248156,6.525645666,1.05E-05,8.27E-06,3,PAK2
622,ENSG00000095380,-4.220351215,6.609343159,1.06E-05,8.34E-06,9,NANS
2266,ENSG00000142875,-4.307278615,5.61423397,1.06E-05,8.34E-06,1,PRKACB
