,stage1,stage2
ENSG00000054523.17,24.56298262,15.04081633
ENSG00000054611.13,34.33928572,419.7346939
ENSG00000054654.16,295.6481661,1359.734694
ENSG00000054965.10,47.95873553,0.040816327
ENSG00000054967.12,34.15015444,80.86673469
ENSG00000054983.16,14.19666988,2.06122449
ENSG00000055044.10,3440.901545,5895.714286
ENSG00000055070.16,126.9425024,0.224489796
ENSG00000055130.15,494.7118726,733.7346939
ENSG00000055163.19,411.8554537,17.40816327
ENSG00000055208.18,121.6474421,855.2040816
ENSG00000055211.12,146.3112934,217.2857143
ENSG00000055332.16,9.473050192,12.53061224
ENSG00000055483.19,532.6385135,234.0204082
ENSG00000055609.17,278.468388,388.8367347
ENSG00000055917.15,513.7388996,1218.877551
ENSG00000055950.16,307.8274614,974.5510204
ENSG00000056050.6,135.0854247,1172.265306
ENSG00000056097.15,401.3839286,565
ENSG00000056558.10,10.13465251,188.8979592
ENSG00000056586.15,267.1339286,759.1020408
ENSG00000056972.18,0.29488417,0.469387755
ENSG00000057252.12,235.7866795,248.9591837
ENSG00000057608.16,1073.826921,2892.692041
ENSG00000057657.15,369.3339769,2374.469388
ENSG00000057663.14,263.5002414,386.6734694
ENSG00000057704.12,1.260135135,0.040816327
ENSG00000057757.9,81.55863902,0.142857143
ENSG00000057935.13,8.363175676,0.081632653
ENSG00000058063.15,3.110598456,18.71285714
ENSG00000058091.16,53.95173744,0.489795918
ENSG00000058262.9,17.10955599,353.3091837
ENSG00000058272.16,421.8585039,950.6530612
ENSG00000058600.15,2361.798987,910.3877551
ENSG00000058668.14,0.206563707,0.285714286
ENSG00000058673.16,483.4166192,2168.624082
ENSG00000058729.10,20.15778234,701.8571429
ENSG00000058799.14,0.157335907,79.51020408
ENSG00000058804.11,26.50555019,3.836734694
ENSG00000059377.16,0.053812742,0.040816327
ENSG00000059378.12,31.53137066,0.06122449
ENSG00000059573.8,273.5407818,661.7755102
ENSG00000059588.9,101.7606177,58.30612245
ENSG00000059728.10,83.5209942,4.469387755
ENSG00000059758.7,61.988417,2.408163265
ENSG00000059769.19,0.04488417,0.06122449
ENSG00000059804.15,2594.988478,2598.724286
ENSG00000060069.16,0.171090734,0.06122449
ENSG00000060138.12,221.1537162,39.85714286
ENSG00000060237.16,58.33711391,233.7959184
ENSG00000060339.13,281.676641,702.4285714
ENSG00000060491.16,0.062982626,0.367346939
ENSG00000060558.3,0.090009653,0.020408163
ENSG00000060688.12,174.4160231,1.142857143
ENSG00000060749.14,0.518339769,0.530612245
ENSG00000060762.18,147.0400579,550.6326531
ENSG00000060971.17,107.9861245,108.707551
ENSG00000060982.14,0.95945946,0.795918367
ENSG00000061273.17,79.3540058,148.7755102
ENSG00000061656.9,0.067567568,0.163265306
ENSG00000061794.12,171.496139,10
ENSG00000061936.9,69.15685329,46.26530612
ENSG00000061938.17,12.37065637,302.122449
ENSG00000061987.15,22.56322394,2.87755102
ENSG00000062194.15,2436.898649,6185.55102
ENSG00000062282.14,0.040540541,43.57142857
ENSG00000062485.18,100.2198914,0.571428571
ENSG00000062582.13,408.0629826,100.8571429
ENSG00000062598.17,46.8655888,5.979591837
ENSG00000062650.18,454.9403958,493.1836735
ENSG00000062716.12,1486.084942,878.1428571
ENSG00000062725.9,146.5299228,0.020408163
ENSG00000063046.17,1586.663422,2437.718367
ENSG00000063177.12,2580.243968,2482.204082
ENSG00000063241.7,0.040540541,0.020408163
ENSG00000063244.12,97.87644786,0.326530612
ENSG00000063245.14,0.04488417,0.040816327
ENSG00000063322.13,570.7915056,277.6530612
ENSG00000063587.13,26.52051158,0.224489796
ENSG00000063601.16,13.66071429,0.06122449
ENSG00000063854.12,31.73914093,189.6122449
ENSG00000063978.15,107.6619208,65.02040816
ENSG00000064012.21,594.2582046,1.020408163
ENSG00000064102.14,3.270994209,210
ENSG00000064115.10,424.0629826,0.020408163
ENSG00000064225.12,0.067567568,0.020408163
ENSG00000064313.11,274.1105213,199.8163265
ENSG00000064393.15,394.0883205,1017.285714
ENSG00000064419.13,50.81274133,4.673469388
ENSG00000064490.13,6.558781369,515.694898
ENSG00000064547.13,0.224903475,0.040816327
ENSG00000064601.16,228.4728885,0.224489796
ENSG00000064607.16,15.51375483,0.040816327
ENSG00000064651.13,1577.123794,3121.734694
ENSG00000064666.14,773.0144426,185.9546939
ENSG00000064687.12,2.4375,0.020408163
ENSG00000064703.11,10.43774131,321.0204082
ENSG00000064726.9,46.94015444,503.4897959
ENSG00000064763.10,0.788214286,0.040816327
ENSG00000064886.13,172.1595077,0.285714286
ENSG00000064932.15,0.094594595,0.306122449
ENSG00000064933.17,810.7343144,122.8367347
ENSG00000064961.18,13.13947876,0.102040816
ENSG00000064995.16,88.34580118,1369.142857
ENSG00000065000.15,17.73769305,0.673469388
ENSG00000065029.14,28.42857143,0.06122449
ENSG00000065057.7,0.818774131,0.020408163
ENSG00000065135.10,878.322635,2376.122449
ENSG00000065150.18,308.0067568,0.448979592
ENSG00000065154.11,120.1701255,562.1632653
ENSG00000065183.15,54.11993243,0.12244898
ENSG00000065243.19,52.32504826,179.4897959
ENSG00000065268.10,0.076013514,0.102040816
ENSG00000065308.4,0.027027027,4.693877551
ENSG00000065357.19,67.10352314,0.020408163
ENSG00000065361.14,0.027027027,0.224489796
ENSG00000065413.18,1421.699807,177.7142857
