Names	total	elements
		SETD5
		PTER
		MRPL35
		RRS1
		GRHPR
		TSNAX
		MYO18A
		WAS
		SEMA7A
		MADD
		ODF2L
		PCID2
		LTN1
		KLF12
		ARHGEF18
		TRMT13
		ZCCHC3
		ITM2C
		TCTEX1D2
		MCAM
		RNFT2
		AQR
		IPMK
		CDCA7
		THG1L
		RIMKLB
		ZSWIM6
		LINC01191
		ANKRD36BP2
		SFN
		CCDC127
		PHBP5
		CLMN
		DENND5B
		GOLGA5
		MDM1
		RBL2
		VDAC3
		PPP1R10
		CASP7
		CSE1L
		LENG8
		SNHG7
		DHX37
		USP53
		MCRIP1
		TMEM106A
		C2orf76
		RCAN3
		FTSJ3
		STYX
		ATG13
		C4orf33
		SMAD4
		FUT8-AS1
		FCHSD2
		RRP1B
		PFKM
		DKC1
		STAT6
		GNL1
		CREBZF
		PRPSAP1
		SRP54-AS1
		TRIAP1
		GCHFR
		MRPS26
		RN7SL749P
		ZNF787
		QPCT
		PELI1
		RPL23AP7
		MT1X
		RFC4
		OMA1
		GOSR1
		JAZF1
		PLOD3
		NUP50
		ZBTB39
		CCDC130
		SPCS1
		GLYCTK
		KDELR3
		RNF5
		UROS
		MFSD1
		LRP10
		TRAPPC10
		PUS7L
		PLEKHF2
		MGMT
		B3GLCT
		RNF138
		GTF3C2
		CNOT10
		SOAT1
		MRPS30
		BNIP3P41
		ATG16L2
		IGHV1-3
		ATL3
		EGR3
		MYO7B
		SEH1L
		OASL
		WDFY1
		SIGMAR1
		ZBTB6
		PRRT3
		OSGIN2
		SLC9B2
		ERG28
		NEB
		SRSF4
		HEBP2
		GABPA
		CXorf38
		TLR3
		CAMK2G
		STAG3L5P
		SRSF8
		POLB
		PTBP1
		USP37
		PTAR1
		KIF3B
		TMEM265
		MTMR9
		MCCC2
		PPT2-EGFL8
		IVD
		HEATR1
		GLRA3
		NSDHL
		NAA35
		VPS8
		POLR2D
		KANSL1L
		MVP
		TOPORS
		INAFM2
		BCL7C
		ZC3H18
		PMF1-BGLAP
		GAPT
		CCDC142
		IGKV2-30
		FXR1
		RAB11B
		CASP3
		ITGB3BP
		ISY1
		FAM200B
		FAAP20
		LINC01588
		CUL1
		RNF213
		RHEX
		PDIA5
		SUCLG1
		MRPL43
		TNFAIP1
		KLRF1
		PKN2
		MAGEH1
		RHEBP1
		AGO1
		DALRD3
		CLDN12
		SPINK2
		PRKCE
		INTS11
		DUSP11
		DDX19A
		NEK11
		DLL3
		TMA16
		RTN4
		FOXP4
		FASLG
		WASHC4
		GFM2
		ZBTB37
		GNL3L
		GTPBP8
		UHRF1BP1
		SGPP2
		GIMAP2
		RGS5
		PRKAR2B
		PRDM8
		MRPL18
		FBXO21
		CLSTN1
		CHCHD3
		RBM12
		INSIG2
		STXBP2
		MCPH1-AS1
		SERGEF
		SMC2
		PECAM1
		PRPF4
		VPS26C
		DEDD
		TMEM9
		TYW3
		PEX2
		GON7
		OSTC
		SAP130
		HSPE1-MOB4
		MRPL32
		TTC31
		WDR46
		CDK9
		ATP6V1B2
		PLCG2
		SNX29P2
		IGKV3-15
		LY75-CD302
		CCR1
		NUS1
		PTPRN2
		LINC00674
		ZNF512
		NUDT9
		SDAD1P1
		SERINC5
